glucose,O2,growth
0.0016119558182533067,0.0006602623169636488,0.46864491023307031
0.0016178021715756226,0.00019832338063188723,0.30427630193779326
0.0010354978664738625,0.00037967966107026917,0.35336151520032671
0.00057874474637540176,4.4627747696031599e-05,0.078299250947005641
0.00011732209773949629,7.9528698741145932e-05,0.043256906424055976
0.00077290407276318126,0.00016615946548582952,0.22043204399676447
0.00082286167878579735,0.00019003669454386441,0.24245681126838436
0.00010009763586586588,0.00084006420029407404,0.10778149940447657
0.00010702784434706444,0.00025161142175527903,0.078585711101924027
0.0019983604689794922,0.00082717090562127178,0.51530132396797357
0.0013082145320600957,1.6129982800199968e-05,0.043195438415654541
0.00047667530132294969,6.7296763192818717e-05,0.098302125449637345
0.00087554562892803263,7.0283025842473795e-05,0.13241142162543243
0.0019486305245859181,0.00093232554726850559,0.52419455821463401
0.0017963784401360122,0.00081909495450153177,0.50299533777087058
0.0016900197648413945,2.5423821474421219e-05,0.069626531148050716
0.00079088528202620855,0.00093222796408993515,0.40355625274483353
0.00099111580727616788,0.00023427938464864689,0.28685860125250662
0.0013566118101438214,0.00027188801518798349,0.33680271883867485
0.00013099739878653157,0.00058854287998787494,0.12395894902018972
0.0011156362726722395,0.00021270206890054046,0.28471089478827455
0.00055018869301490204,0.00097517969474379977,0.34778807012249996
0.001760505834936495,0.00037259493301891025,0.40542569269684836
0.00013778673025126011,0.00057534929406268984,0.1282496211507391
0.0013615712507125163,0.00057677060545673617,0.43447123932115322
0.0017414761196317317,0.00028884180754644293,0.36725279270097477
0.00046236386507020718,0.00073724152152892608,0.30233806634405302
0.0017919419964341108,0.00099235413048365034,0.5205611264943798
0.0017456689813684268,0.00059971188270234444,0.466353506617252
4.6849263163719391e-05,9.2914307300428266e-05,0.021740379897321634
0.0014179161790009828,0.00080997538638273559,0.47432056429526803
1.2387370337789012e-05,0.00067012452356136692,0.014895147036678229
0.0010116942914517924,0.00049491808773126508,0.38130721566427217
0.00087896743382954892,0.00065776091745559356,0.39103044527976177
0.00041447314386798399,0.00026873892092080367,0.20788108731034338
0.00065663586270545615,0.00031078138891266351,0.27633625653399946
0.0016143685087438167,0.00052016586027651415,0.441185568390636
0.00063973965393493545,7.7733267707895222e-05,0.12568012972197859
0.00030658678123177607,0.00059210551551863136,0.22730468226640457
0.0014000388607334385,0.00019056374125607192,0.28761792071435921
0.00090260276051314873,0.00026133364463204548,0.2916299691751682
0.0015998895870166366,0.00090093829927248288,0.49878755376690703
0.00047867775003928117,0.00059201276069808021,0.29247745981810608
0.00064637146209338978,0.00025144489294619623,0.2512377349518351
0.0016017602568493574,0.00070203371367842291,0.47450361361629156
0.0010190655964575487,0.00099665450076663912,0.44698345983628229
0.0010177061528289261,0.00089861342258486948,0.4387859297823814
0.00048002631550776845,0.00080082760175288477,0.31354296083711786
3.8927197923988405e-05,0.00033923713234137499,0.036352695737974755
0.001867115561448613,0.00058727832550310797,0.47071431156871896
0.00018079332426279164,0.00058913763153424644,0.15860654294819879
0.001691404334932484,9.7589533813877477e-05,0.20248856387560488
0.00074208267043391837,0.00069576269112752505,0.37124442553543469
0.001902535732579641,0.00052590151763599836,0.45896511120010919
0.00080485627054182479,0.00052672272720096934,0.35765059962997131
0.0018735197030655861,0.00073989823009014172,0.49710320955008341
0.0011167579533124551,8.6636860108532142e-05,0.16702239289798765
0.00048786930332252393,0.00022046214176355642,0.20715771580535369
0.0014854291233553476,0.00098789980090578287,0.49776071975344227
0.001352035532624658,0.00030675067559979367,0.35352486836660818
