acetate,o2,growth
1.5770581e-05,3.1474414e-06,3.456698e-08
9.5986788e-05,1.6112023e-05,1.0719689e-06
1.638839e-06,4.7321726e-05,5.5149866e-08
1.8129804e-06,1.9927205e-06,2.5409249e-09
3.7177805e-05,0.000536369,1.3372357e-05
0.00020934214,0.0013440507,0.00017462197
0.00013635984,2.0391733e-05,1.9490195e-06
0.0014977836,9.0366808e-06,9.1821901e-06
3.4166086e-06,2.448137e-06,5.7757997e-09
4.6612399e-06,8.3153318e-05,2.7829795e-07
0.00023084568,1.6954909e-05,2.7038362e-06
1.6613569e-06,4.7849333e-06,5.5499533e-09
0.0003286844,2.5792594e-05,5.8191878e-06
4.7458654e-05,9.7620235e-06,3.3158502e-07
0.00086773252,0.00020295586,0.00011887977
8.763672e-05,0.00077420349,4.5153746e-05
0.00049910997,8.9225954e-06,3.1144643e-06
3.5206575e-05,0.00031575113,7.5286809e-06
3.6491039e-06,4.1122723e-05,1.0761881e-07
0.00067316992,7.7906881e-05,3.6203888e-05
0.0017312754,1.0856503e-05,1.2587796e-05
0.00013964165,3.2058816e-05,3.0362117e-06
0.0012794273,0.0013134714,0.00098427294
1.6765418e-06,0.00020684556,2.3896074e-07
0.00024757696,0.0018977521,0.00027703267
2.6731971e-05,0.00016115459,2.9224955e-06
1.2118799e-06,3.342489e-05,2.8398634e-08
1.6522305e-06,0.00034352642,3.8743813e-07
3.0090237e-06,6.5672567e-06,1.3389242e-08
1.9864051e-06,3.0393526e-05,4.3212004e-08
0.00010773622,0.00082428331,5.8271685e-05
1.0712015e-05,2.3491257e-05,1.6933214e-07
2.1236541e-05,0.00082936756,1.1505603e-05
4.4856367e-06,5.8303762e-06,1.8239821e-08
7.2963083e-06,3.9891147e-05,2.0021698e-07
1.035481e-06,2.4152104e-05,1.7318932e-08
2.3219769e-05,7.4047324e-05,1.2291527e-06
8.0683987e-05,0.00010931813,6.0433044e-06
0.00031713474,1.5074127e-06,3.4181891e-07
0.0017171097,0.00043033147,0.00046959569
2.8274687e-05,2.0751099e-05,4.1887632e-07
1.6992326e-06,1.6684627e-06,2.018264e-09
5.9184606e-06,3.4337422e-06,1.4169054e-08
1.0019889e-06,3.1574034e-06,2.2261188e-09
2.373087e-06,1.5859418e-05,2.7359758e-08
0.00018681974,3.0929266e-06,4.0546159e-07
8.5722312e-06,1.4019848e-05,8.3429394e-08
0.0013809954,0.00189785,0.0015121314
5.2927457e-05,3.9550567e-05,1.4696172e-06
1.8509713e-05,7.4811858e-06,9.7285908e-08
0.001163888,3.4112512e-06,2.8470268e-06
8.9951469e-05,3.0474696e-06,1.9284416e-07
0.00010213592,1.2281971e-06,8.2839647e-08
0.0015610377,0.00019868564,0.00020442414
9.2439435e-06,1.6236298e-05,1.0666727e-07
9.3334736e-05,0.0003729783,2.414756e-05
1.6573756e-05,5.4483783e-06,6.4533738e-08
0.0014251099,0.00045802543,0.00040200349
0.0010641161,0.0002769128,0.00019721791
2.0664038e-05,1.2464198e-06,1.8450095e-08
1.26864e-06,8.3631325e-06,7.4073374e-09
0.0034523958,2.9944149e-05,6.9558865e-05
0.002924242,0.0018261787,0.0030408707
6.5385812e-06,5.6082179e-06,2.5514792e-08
5.3408478e-06,4.7276204e-06,1.7124826e-08
0.0012845346,3.8260986e-05,3.2404973e-05
0.00026022331,0.00043616216,7.7653251e-05
0.0023186668,0.00038230087,0.0005796929
0.00059531532,3.7844296e-05,1.5764058e-05
1.6981308e-05,0.00044009114,5.1683357e-06
0.0039276354,2.0261647e-05,4.951175e-05
0.00047974286,3.6407192e-06,1.2446226e-06
2.9506052e-06,3.1546632e-06,6.7084269e-09
3.4729168e-06,0.00053497795,1.2092387e-06
0.0042278764,0.00014779589,0.00039151395
3.0514435e-06,1.1143365e-06,2.4283045e-09
0.0039020573,0.00013950686,0.00033259313
4.0239085e-05,0.00075448317,1.9592082e-05
0.0011374269,4.9734423e-06,3.8691042e-06
7.7579683e-06,8.6267395e-05,4.721363e-07
9.1071523e-06,2.4164232e-05,1.5823106e-07
2.0353378e-05,3.2538922e-05,4.7677452e-07
0.00014381017,0.00096629733,8.4976501e-05
7.171077e-05,5.6960023e-05,2.8996839e-06
8.6384367e-05,1.1527771e-06,6.8755946e-08
1.0340609e-06,0.0004345959,3.028796e-07
4.3401558e-06,3.6560689e-05,1.1022303e-07
1.6061947e-05,5.1414385e-05,5.6044435e-07
0.00011338689,0.00038806723,3.017954e-05
8.3018148e-06,8.2056229e-06,4.8393376e-08
0.00071873805,4.7421918e-05,2.2677413e-05
0.0023728259,2.9052014e-05,4.5348052e-05
0.00018438359,4.6649399e-05,5.7880691e-06
4.7120894e-05,5.7595854e-05,1.8826937e-06
5.8646487e-05,0.0012821046,4.5999727e-05
0.0030556087,7.1931969e-06,1.3926388e-05
0.00011738829,0.0012994297,9.4824624e-05
2.8175781e-06,2.8803487e-05,5.6123391e-08
1.8550083e-06,6.2281026e-06,8.2974697e-09
0.00079388174,0.00091434725,0.00046432237
3.726434e-06,0.00023117093,5.8584195e-07
0.0018431988,0.0015627674,0.0016660331
6.4900613e-06,0.001393942,5.4541673e-06
0.0045867474,0.00055966072,0.0015801899
3.9560167e-06,2.6574583e-05,7.2060311e-08
5.2972888e-06,1.1258031e-05,4.1620272e-08
0.00046904475,1.1596147e-06,3.6949127e-07
1.1664999e-06,1.2424659e-05,1.0059782e-08
0.00020318308,4.9090015e-05,7.288811e-06
0.00082438731,0.0016128631,0.00080644585
2.4410494e-06,7.5272377e-06,1.3284622e-08
1.0008569e-05,2.6771135e-06,1.8907466e-08
3.6467463e-05,0.0010200098,2.376414e-05
3.5686796e-06,0.0010819638,2.4045248e-06
0.00012900707,0.00020516298,1.8213528e-05
0.00035127866,2.535037e-05,6.1970457e-06
1.8529238e-06,0.0012517585,1.408448e-06
2.0406151e-06,0.0006705581,8.7347019e-07
1.7637408e-06,0.0007047678,7.9862829e-07
0.00011111369,0.0011454156,8.0172724e-05
9.7905067e-06,2.6703915e-06,1.8026495e-08
2.5401402e-06,3.4115229e-06,6.0485807e-09
1.5358651e-06,4.6349285e-06,4.9483082e-09
0.00064470533,9.0608599e-06,4.0970602e-06
7.0764058e-05,3.8659199e-06,1.9073417e-07
8.4411659e-06,1.1237197e-06,6.6588289e-09
0.00051480452,6.5921898e-05,2.3556586e-05
0.0028656017,2.2430446e-06,4.3441852e-06
0.0010694514,2.6707373e-05,1.8782376e-05
2.8445502e-05,4.7052806e-05,9.3310087e-07
0.00034989364,0.0017501114,0.00035473569
0.00041129749,0.00012571265,3.6571681e-05
3.1402533e-05,1.403719e-05,3.1099645e-07
1.8264239e-06,0.00027905992,3.4830536e-07
8.8192993e-06,3.4584513e-06,2.2045802e-08
0.0016599434,0.00016348712,0.00018441827
1.1037298e-05,6.3030704e-06,4.8368309e-08
3.8256886e-06,2.9626504e-05,8.0789749e-08
9.4130033e-06,0.0014958436,8.7847438e-06
8.0204779e-06,0.001540618,7.4613823e-06
1.3963956e-05,1.5034681e-05,1.4957556e-07
5.6976077e-05,4.5670847e-05,1.8113955e-06
5.5388447e-06,4.6360433e-05,1.8170014e-07
2.1478064e-06,2.0835233e-05,3.1273788e-08
1.4260174e-06,1.1864621e-06,1.178403e-09
0.00014657335,5.5830379e-05,5.7577633e-06
0.00059734781,0.00014810557,5.9779374e-05
2.7593688e-05,1.1928356e-05,2.2076097e-07
0.0043901903,3.114457e-06,8.7550193e-06
1.4520138e-06,0.00057189439,5.3423838e-07
0.0019919022,0.00011771781,0.00015543469
3.2756287e-06,5.357208e-05,1.1772902e-07
7.3392789e-05,0.00057036654,2.8029753e-05
0.00014468584,0.00088564106,7.9266895e-05
0.00033574495,0.00019439736,4.4545566e-05
3.1067603e-06,1.5513372e-05,3.3851242e-08
2.4438969e-06,0.00057421013,9.0455635e-07
0.0002072015,0.00017656022,2.4807011e-05
6.4548328e-05,1.0255119e-06,4.6725863e-08
7.2522846e-05,5.8440058e-05,2.8517808e-06
0.00027461802,1.6520919e-06,3.1539975e-07
1.8853341e-06,7.5268915e-06,9.774827e-09
0.00049864151,4.7580523e-06,1.637887e-06
6.7158613e-05,1.8316547e-05,8.1163064e-07
5.9134949e-05,0.000180677,7.3592557e-06
0.00023853986,1.8019254e-06,2.9115057e-07
3.5101116e-06,6.8907182e-06,1.6905903e-08
0.00012593124,1.099414e-06,9.5015556e-08
1.6764217e-06,7.7130645e-06,8.9132685e-09
0.00031580744,9.1227539e-06,1.948002e-06
8.1404805e-05,3.4187396e-05,1.9192826e-06
0.0020213074,4.5470562e-06,6.1939384e-06
0.0041500923,0.00123198,0.0030070411
0.0010783928,0.0015694749,0.0010048563
4.5973297e-05,7.7062946e-06,2.505632e-07
6.0173534e-06,8.3072586e-05,3.6320433e-07
3.3442175e-06,5.3697818e-05,1.2629967e-07
0.0010813297,4.779477e-05,3.5133048e-05
0.0019075526,0.00020976676,0.0002655792
6.2837617e-05,1.2077557e-06,5.5301872e-08
1.0310531e-06,4.1985913e-05,2.9688056e-08
3.3149103e-06,1.3659121e-05,3.1813216e-08
1.4762612e-05,0.00059378312,5.9834429e-06
0.0012701226,2.4903483e-06,2.1595322e-06
0.0026712934,0.00022579389,0.00039723435
2.381431e-05,1.9814022e-05,3.2632892e-07
0.0049488412,8.8082536e-05,0.00027150004
1.041816e-05,1.4432263e-06,1.069208e-08
2.378054e-06,0.00056923356,8.8717075e-07
8.3607386e-06,7.5366118e-06,4.6080199e-08
7.7631283e-05,4.2334789e-06,2.2156544e-07
0.0018658446,0.00047897385,0.000596078
0.00021560789,0.0010357135,0.00014435355
0.00045885704,1.4565382e-06,4.5925787e-07
0.00051162271,3.0782492e-05,1.0884409e-05
1.1446586e-05,1.4510228e-06,1.1287882e-08
0.0026799118,2.631834e-06,4.6000902e-06
1.2631333e-05,0.00027514933,2.3746613e-06
0.0040859239,7.2248004e-06,1.890926e-05
0.00011521692,2.0036408e-05,1.5864213e-06
4.1587018e-06,3.4169174e-06,1.0055854e-08
6.8971301e-05,5.3248816e-06,2.6736422e-07
0.0022502268,0.0019471268,0.0024309922
5.1488243e-06,1.9927431e-06,7.204381e-09
1.8402726e-05,1.9985046e-06,2.5757099e-08
0.00012793782,0.00084887488,7.0973282e-05
0.00059287209,2.3046482e-05,9.2336765e-06
2.4775096e-05,1.3074304e-05,2.2917537e-07
1.6965095e-06,8.2430851e-06,9.8801193e-09
7.2785651e-05,0.0001197891,6.0096397e-06
0.0015548849,5.1629843e-06,5.4363535e-06
3.0108537e-05,2.9634113e-05,6.3167327e-07
0.0033776035,0.0006331845,0.0013226817
1.3160358e-06,0.00021984656,1.9756993e-07
0.0020566224,3.6498312e-05,5.0268621e-05
2.8068861e-05,0.0011467919,2.0198927e-05
0.0011319564,0.00066666545,0.00049147609
2.5313831e-06,3.2330147e-06,5.7116356e-09
